School Name,State,Degree Level,Acceptance Rate,Average SAT,Undergraduate Students,White,Black,Hispanic,Asian,Net Price,4 Year Graduation Rate,Median Debt @ Graduation,Percent Female,First Generation,Median Family Income,Median Earnings @ 10 Years Post Grad,Mean Earnings @ 10 Years Post Grad,90th Percentile Earnings
DeVry University-New Jersey,NJ,3,100,0,88,0.2955,0.2955,0.2386,0.0455,20588,0.218566206,24807,0.605904902,0.502252141,22648,50300,45987,91000
Alliance University,NY,3,100,0,761,0.0788,0.3338,0.3311,0.0434,23540,0.351039261,25641,0.592677346,0.37394958,25675.5,46700,44394,85000
Design Institute of San Diego,CA,3,100,0,90,0.4667,0.0889,0.2,0.1667,34992,0.473684211,36844,0,0,28781.5,42300,46920,66700
Boston Baptist College,MA,3,100,0,39,0.7692,0.0769,0.1282,0.0256,13549,0,0,0.428571429,0,53774,37500,34159,0
Albizu University-San Juan,PR,3,100,0,701,0.0043,0,0.9886,0,10499,0.334677419,5500,0.804210526,0.250580046,16091,34000,41544,53500
Art Academy of Cincinnati,OH,3,100,0,259,0.6255,0.2124,0.0386,0.0193,29008,0.449275362,27000,0.744680851,0.307692308,48389,30100,34368,0
Stevens-The Institute of Business & Arts,MO,3,100,0,87,0.3908,0.5517,0.0345,0.023,17777,0.479166667,27000,0.86407767,0.292134832,17458,29400,29058,48000
Naropa University,CO,3,100,0,338,0.6716,0.0089,0.1065,0.0296,26838,0.455882353,24712,0.66122449,0.194805195,21389,27800,28720,51400
Institute of American Indian and Alaska Native Culture and Arts Development,NM,3,100,0,311,0.09,0,0.09,0,12428,0.3,0,0.534090909,0.380645161,11357.5,18000,24505,0
Horizon University,IN,3,100,0,40,0.825,0,0.1,0,25310,0,0,0,0,0,65875,65875,0
University of Massachusetts Global,CA,3,100,0,4545,0.5965,0.1102,0.0983,0.0451,32849,0.385347985,24276,0.700834327,0.499765808,30485,65703,65703,0
Columbia Southern University,AL,3,100,0,11208,0.6194,0.1595,0.0192,0.0153,12366,0.386725178,21339,0.519648829,0.535234084,35183,63534,63534,0
Lincoln University,CA,3,100,0,177,0.1017,0.5311,0.0452,0.0282,28597,0,0,0,0,11104,53695,53695,0
Thomas More College of Liberal Arts,NH,3,100,0,89,0.7528,0,0.0562,0.0112,15273,0,25000,0.56097561,0,63043,53565,53565,0
Faith International University,WA,3,100,0,177,0.3559,0.322,0.1243,0.0847,19098,0,17650,0.4,0,34426,51006,51006,0
Pillar College,NJ,3,100,0,378,0.1931,0.172,0.5,0.0079,24290,0.228723404,21483,0.675675676,0.587301587,18259,45577,45577,0
